sim_time_us,node_id
4669975,34
4670009,20
4670052,22
4670083,30
4670104,38
28926240,15
201862437,2
225641118,26
249742752,9
257771463,8
286913056,23
314947949,24
333217630,14
350543491,28
364403973,6
411177118,31
412914041,13
415748740,40
430077643,35
459219011,33
497019928,17
525528097,25
604120823,39
621130561,27
646331193,11
655304910,19
655781302,10
664915982,12
689198456,2
698774515,5
787605682,16
870136643,18
876488550,18
916756848,21
926998285,7
950623229,32
959601631,4
963276896,4
977713010,41
1050947473,37
1070799908,10
1173959720,3
1381861935,29
