sim_time_us,node_id,time_source,join_priority
1939135,20,0x0001,1
1939135,34,0x0001,1
1939159,38,0x0001,1
1939160,22,0x0001,1
2254138,30,0x0001,1
64624664,9,0x001e,2
97384781,31,0x0009,3
145265294,17,0x0016,2
189365531,12,0x0011,3
193145649,2,0x0016,2
229685941,28,0x0026,2
229686224,15,0x0026,2
240710989,19,0x001f,4
250161069,23,0x0022,2
266226469,21,0x0013,5
294261544,37,0x000c,4
295206412,39,0x001f,4
311901547,26,0x0026,2
317571920,18,0x0011,3
321036943,29,0x0015,6
359781975,16,0x0017,3
369232172,7,0x0010,4
405772295,10,0x0012,4
427507456,8,0x0022,2
526418313,13,0x001c,3
537128470,33,0x000d,4
607374069,4,0x0021,5
676989643,32,0x0021,5
695259767,24,0x0011,3
757630075,6,0x001a,3
856540915,14,0x0008,4
864416190,35,0x0006,4
900956161,40,0x000e,5
906626320,11,0x0028,6
950726630,25,0x0006,4
1089327703,27,0x0006,4
1239268897,5,0x0008,4
1604041777,41,0x0005,5
1604041782,3,0x0005,5
